title,event,eventTime
76人三名球队成员新冠病毒检测呈阳性 ,虎扑3月20日讯 根据ESPN名记的报道，76人三名球队成员新冠病毒检测呈阳性。根据76人的说法，球队对球员、教练组和特定的篮球运营人员进行了病毒检测，三位阳性患者都来自这个范围。根据Marc Stein的后续报道，76人方面称，他们是收到了医学专家和NBA的建议，要求对以上三类球队成员进行测试，这些测试都是私密且受保护的。,2020-03-20
掘金有一名球队成员的新冠病毒检测呈阳性,虎扑3月20日讯 根据ESPN名记的报道，掘金方面称，有一名球队成员的新冠病毒检测呈阳性。这位成员在3月16日出现了发病症状，随后接受了检测，目前正在球队医疗人员的照顾下处于自我隔离的状态。目前尚不清楚该成员是球员还是球队的工作人员。,2020-03-20
欧盟负责英国“脱欧”谈判首席代表确诊新冠肺炎,当地时间3月19日，负责英国“脱欧”事务的欧盟首席谈判代表米歇尔·巴尼耶（Michel Barnier）宣布自己确诊感染新冠肺炎。据英国《镜报》19日报道，现年69岁的巴尼耶说自己情况良好，心情舒畅。他强调说：“我们要一起克服这一处境。”,2020-03-19
摩纳哥元首阿尔贝二世亲王新冠病毒检测呈阳性,摩纳哥王室3月19日发表声明，摩纳哥国家元首阿尔贝二世亲王（Prince Albert Ⅱ）确诊感染新冠病毒。这是全世界首位确诊感染新冠病毒的国家元首。综合美联社和当地媒体报道，摩纳哥王室声明称，阿尔贝二世亲王本周进行了新冠病毒检测，结果呈阳性。,2020-03-19
美国出现两名确诊感染的国会议员,美国佛罗里达州众议员马里奥·巴拉特18日宣布自己的新冠病毒检测结果呈阳性。美国犹他州众议员本·麦克亚当斯确诊新冠肺炎。14日晚，该议员从华盛顿返回犹他州，出现流感症状，隔天开始隔离，17日进行新冠病毒测试后确诊。,2020-03-18
 巴西参议长及两名政府部长被确诊感染新冠病毒,巴西官方18日宣布，巴西参议长阿尔科伦布雷以及总统府机构安全办公室部长级主任埃莱诺、矿产和能源部长阿尔布开克被确诊感染新冠病毒，目前三人均已居家隔离。,2020-03-18
意大利又一名市长因新冠肺炎去世,当地时间18日，在意大利疫情严重的贝尔加莫省，又有一名市长因感染新冠病毒不幸去世。据当地媒体报道，梅佐尔多市市长拉伊蒙多·巴利科早前因感染病毒而在家中休养了两周，近几日他的病情恶化，于18日凌晨在家中病逝。,2020-03-18
篮网队宣布四名球员检测为阳性 杜兰特是其中之一,虎扑3月18日讯 今日，根据记者Shams Charania的报道，篮网球员凯文-杜兰特新型冠状病毒检测呈阳性。杜兰特表示自己感觉良好，他说：“每个人都要小心，照顾好你自己并且做好居家隔离。我们会度过这个难关的。”根据此前的报道，篮网官方发表声明：“四名篮网球员新型冠状病毒检测呈阳性。其中一名球员出现相关症状，其余三名未出现症状。目前所有四名球员处于隔离状态，并由队医护理。”,2020-03-18
尤文图斯俱乐部证实马图伊迪新冠病毒检测呈阳性,虎扑3月18日讯 尤文图斯俱乐部在官方网站证实，中场马图伊迪在新型冠状病毒检测中呈阳性。马图伊迪也是尤文图斯第二位检测出阳性反应的球员，此前感染的是后卫鲁加尼。,2020-03-18
梅州客家巴西籍外援多利确诊新冠,虎扑3月18日讯 据广州市卫健委通报，一名现居梅州的巴西职业球员确诊新冠肺炎，而这也是国内首次曝出有足球运动员确诊。,2020-03-18
日本奥委会主席感染新冠病毒,当地时间3月17日，日本足协主席田嶋幸三在新型冠状病毒检测中确认呈阳性。他同时兼任国际足联理事、日本奥委会副主席等要职。,2020-03-17
鲁加尼女友确诊新冠,虎扑3月17日讯 鲁加尼的女友米凯拉-佩尔西科更新了Instagram，宣称自己感染上了新冠病毒。她的男友鲁加尼在前不久就被确诊感染。,2020-03-17
权游“野人首领”托蒙德扮演者克里斯托弗·海维尤确诊新冠, 挪威演员克里斯托弗·海维尤(《权力的游戏》)透露自己确诊感染新冠，正在家中隔离。而他新加盟了Netflix剧集《猎魔人》第2季，本季已在伦敦开拍，目前已停拍并因为他的感染而将关闭片场进行清洁和消毒，同时建议剧组的演员和工作人员自我隔离,2020-03-17
著名演员伊德里斯·艾尔巴（《雷神》系列海姆达尔饰演者）确诊新冠！,3月17日凌晨，英国男演员 Idris Elba 伊德里斯•艾尔巴表示自己新型冠状肺炎检测结果显示为阳性，但目前他暂无不良症状，正在家中隔离。这位演员饰演 Marvel 漫威电影系列的海姆达尔应该是国内影迷最为熟悉的角色,2020-03-17
